nct_id,title,conditions,status,phase,start_date,completion_date,months_since_completion,enrollment,sponsor_name,sponsor_class,results_posted,registry_url
NCT04725045,Investigating the Use of Complex Pulse Shapes for DBS in Movement Disorders,Parkinson Disease; Essential Tremor,COMPLETED,NA,2019-02-12,2022-04-14,53,28,KU Leuven,OTHER,no,https://clinicaltrials.gov/study/NCT04725045
NCT04758624,Elucidating the Temporality of Structural and Functional Connectivity Changes in Essential Tremor After Successful Deep Brain Stimulation to the Dentato-rubro-thalamic Tract,Essential Tremor,RECRUITING,NA,2021-12-04,2026-08-31,1,72,Northwell Health,OTHER,no,https://clinicaltrials.gov/study/NCT04758624
NCT06799923,Possibilities of Use MRI-Guided Laser Interstitial Thermal Therapy in Medically Intractable Tremor,Laser Interstitial Thermal Therapy; Parkinson Disease; Essential Tremor; Movement Disorders; MRI,RECRUITING,NA,2024-08-01,2026-04,5,15,"Centre Hospitalier Universitaire, Amiens",OTHER,no,https://clinicaltrials.gov/study/NCT06799923
NCT03562403,DBS in the Treatment of Intractable Movement Disorders,"Parkinson Disease, Essential Tremors and Dystonia",UNKNOWN,NA,2018-07,2019-07,86,16,Assiut University,OTHER,no,https://clinicaltrials.gov/study/NCT03562403
NCT06145932,Repetitive Transcranial Magnetic Stimulation Therapy in Essential Tremor,Essential Tremor,RECRUITING,NA,2023-11-07,2026-12-31,-3,40,Second Affiliated Hospital of Soochow University,OTHER,no,https://clinicaltrials.gov/study/NCT06145932
NCT05157321,Repetitive Transcranial Magnetic Stimulation in Essential Tremors Patients,Essential Tremor,COMPLETED,NA,2021-12-10,2022-04-30,53,30,Al-Azhar University,OTHER,no,https://clinicaltrials.gov/study/NCT05157321
NCT07016425,Temporal Interference for Essential Tremor,Essential Tremor,RECRUITING,NA,2025-06-09,2026-09-30,0,10,Liankun_Ren,OTHER,no,https://clinicaltrials.gov/study/NCT07016425
NCT05475340,Open Label Study for the Use of Transcranial Ultrasound Treatment of Tremor,Tremor; Parkinson Disease; Essential Tremor,UNKNOWN,EARLY_PHASE1,2022-07-13,2024-08-13,25,50,Neurological Associates of West Los Angeles,OTHER,no,https://clinicaltrials.gov/study/NCT05475340
NCT03253991,A Study to Evaluate the Effectiveness and Safety of ExAblate MRgFUS on Essential Tremor,Essential Tremor,TERMINATED,NA,2014-11-17,2023-02-02,43,154,InSightec,INDUSTRY,no,https://clinicaltrials.gov/study/NCT03253991
NCT04501484,Bilateral Essential Tremor Treatment With FUS,Essential Tremor,UNKNOWN,NA,2020-07-08,2025-12,9,19,"University Health Network, Toronto",OTHER,no,https://clinicaltrials.gov/study/NCT04501484
NCT05234762,"Efficacy, Safety, and Pharmacokinetics of ES-481 in Adult Patients With Essential Tremors","Tremor, Essential",UNKNOWN,PHASE2,2021-11-21,2023-12-31,33,24,ES Therapeutics Australia Pty Ltd,INDUSTRY,no,https://clinicaltrials.gov/study/NCT05234762
NCT02495883,Functional Imaging of Tremor Circuits and Mechanisms of Treatment Response,Essential Tremor; Tremor,COMPLETED,PHASE4,2013-12,2017-04,113,56,"University of California, San Diego",OTHER,yes,https://clinicaltrials.gov/study/NCT02495883
NCT04193527,A Study to Evaluate the Diagnostic Efficacy of DaTSCAN™ Ioflupane (123I) Injection in Single Photon Emission Computed Tomography (SPECT) for the Diagnosis of Parkinsonian Syndrome (PS) in Chinese Patients,Parkinsonian Syndrome; Parkinson Disease(PD); Multiple System Atrophy (MSA); Progressive Supranuclear Palsy (PSP); Essential Tremor,COMPLETED,PHASE3,2020-06-28,2021-12-20,57,172,GE Healthcare,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT04193527
NCT03794661,Evaluation of the Infinity Deep Brain Stimulation Electrode Screening Mode Tool,Essential Tremor; Parkinson's Disease,COMPLETED,NA,2019-06-26,2020-12-16,69,8,Abbott Medical Devices,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT03794661
NCT07417280,LIFUS For Neurological Disorders,Parkinson's Disease (PD); Essential Tremor; Orthostatic Tremor; Dystonia; Epilepsy; Substance Abuse Disorder; Deep Brain Stimulation,RECRUITING,NA,2025-12-02,2040-12-31,-171,50,"University Health Network, Toronto",OTHER,no,https://clinicaltrials.gov/study/NCT07417280
NCT01332695,A Pilot Efficacy and Safety Study of ST101 in Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2011-04,2011-12,177,25,"Sonexa Therapeutics, Inc.",INDUSTRY,no,https://clinicaltrials.gov/study/NCT01332695
NCT02763865,A Pilot Study to Assess the Effects of Pre-SMA LF-rTMS for the Treatment of Essential Tremor,Essential Tremor,COMPLETED,NA,2014-07,2017-03-21,114,10,Medical University of South Carolina,OTHER,yes,https://clinicaltrials.gov/study/NCT02763865
NCT00848172,"Double-Blind, Placebo Controlled Pilot Study of Octanoic Acid in Essential Tremor",Essential Tremor,COMPLETED,PHASE1|PHASE2,2009-02,2010-11,190,29,National Institute of Neurological Disorders and Stroke (NINDS),NIH,yes,https://clinicaltrials.gov/study/NCT00848172
NCT07531238,Transcranial Temporal Interference Stimulation (tTIS) To Modulate Essential Tremor,Essential Tremor,NOT_YET_RECRUITING,NA,2026-05-26,2027-05,-8,6,"University Hospital, Geneva",OTHER,no,https://clinicaltrials.gov/study/NCT07531238
NCT02418858,Functional Outcomes of Awake vs. Asleep Deep Brain Stimulation (DBS) for Essential Tremor,Essential Tremor,WITHDRAWN,NA,2015-02,2017-06,111,,"St. Joseph's Hospital and Medical Center, Phoenix",OTHER,no,https://clinicaltrials.gov/study/NCT02418858
NCT00016679,1-Octanol to Treat Essential Tremor,Essential Tremor,COMPLETED,PHASE1,2001-05,2004-03,270,42,National Institute of Neurological Disorders and Stroke (NINDS),NIH,no,https://clinicaltrials.gov/study/NCT00016679
NCT07238725,The Efficacy of Aldehyde Dehydrogenase Enzyme in Essential Tremor Patients: A Single-Center Study,Essential Tremor,ENROLLING_BY_INVITATION,NA,2025-03-10,2026-02-28,7,40,"Pico Entech Co., Ltd.",INDUSTRY,no,https://clinicaltrials.gov/study/NCT07238725
NCT06974916,EMBRACE Tremor BiFUS,Essential Tremor,RECRUITING,NA,2025-04-22,2028-03,-18,100,InSightec,INDUSTRY,no,https://clinicaltrials.gov/study/NCT06974916
NCT03984643,Algorithms for Programming DBS Systems for ET,Essential Tremor,RECRUITING,NA,2019-10-01,2031-12-31,-63,25,University of Minnesota,OTHER,no,https://clinicaltrials.gov/study/NCT03984643
NCT04361955,Modulatory Effects of Deep Brain Stimulation on Cerebral Cortical Activity,DBS; Parkinson Disease; Essential Tremor; Healthy,COMPLETED,NA,2020-01-31,2023-08-10,37,66,The Cleveland Clinic,OTHER,no,https://clinicaltrials.gov/study/NCT04361955
NCT04501133,Sensory-specific Peripheral Stimulation for Tremor Management,Parkinson's Disease; Essential Tremor,SUSPENDED,NA,2020-09-01,2026-07-15,2,180,Shirley Ryan AbilityLab,OTHER,no,https://clinicaltrials.gov/study/NCT04501133
NCT05021991,A Clinical Trial of 2 Doses of PRAX-944 in Participants With Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2021-10-14,2024-02-29,31,133,Praxis Precision Medicines,INDUSTRY,no,https://clinicaltrials.gov/study/NCT05021991
NCT00634478,Pre-lemniscal Radiation Deep Brain Stimulation for ET,Essential Tremor,WITHDRAWN,NA,2008-10,2011-01-19,188,,Medical College of Wisconsin,OTHER,no,https://clinicaltrials.gov/study/NCT00634478
NCT07574164,Closed-loop TMS for Tremor,Essential Tremor; Parkinson's Disease (PD),RECRUITING,NA,2024-01-01,2028-01-01,-16,20,University of Oxford,OTHER,no,https://clinicaltrials.gov/study/NCT07574164
NCT05671848,Electroclinical Correlates in Essential Tremor,Essential Tremor,COMPLETED,NA,2023-05-03,2025-11-26,10,10,"University Hospital, Bordeaux",OTHER,no,https://clinicaltrials.gov/study/NCT05671848
NCT00018564,Novel Therapies for Essential Tremor,Essential Tremor,COMPLETED,PHASE3,2000-10,2003-09,276,,US Department of Veterans Affairs,FED,no,https://clinicaltrials.gov/study/NCT00018564
NCT07433699,Image-Guided DBS Programming,Essential Tremor,NOT_YET_RECRUITING,NA,2026-09-01,2027-08-30,-11,20,University of Pennsylvania,OTHER,no,https://clinicaltrials.gov/study/NCT07433699
NCT01940406,The Essential Tremor (ET) and Parkinson Disease (PD) Tremor Acute Stimulation Study,Essential Tremor; Parkinson Disease,WITHDRAWN,NA,2013-10,2013-12,153,,BlueWind Medical,INDUSTRY,no,https://clinicaltrials.gov/study/NCT01940406
NCT01223144,Decision-making and Emotion Recognition in Essential Tremor,Essential Tremor,COMPLETED,NA,2010-09,2011-12,177,39,"University Hospital, Bordeaux",OTHER,no,https://clinicaltrials.gov/study/NCT01223144
NCT00998660,RECHARGE Sub-Study to the Implantable Systems Performance Registry (ISPR),Parkinson's Disease; Essential Tremor; Dystonia,COMPLETED,PHASE4,2009-07,2013-07,158,100,MedtronicNeuro,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT00998660
NCT07103265,Developing a New LIFU Neuromodulation Method to Suppress Tremor,Essential Tremor,NOT_YET_RECRUITING,PHASE2,2025-09-15,2027-07-15,-10,20,University of Calgary,OTHER,no,https://clinicaltrials.gov/study/NCT07103265
NCT01978080,Continuous Tremor Assessment During Daily Activities,Essential Tremor,COMPLETED,NA,2013-10,,,39,Great Lakes NeuroTechnologies Inc.,INDUSTRY,no,https://clinicaltrials.gov/study/NCT01978080
NCT07074002,Proof of Concept Study on BP1.4979 Effect on Essential Tremor,Essential Tremor,RECRUITING,PHASE2,2025-09-17,2026-12,-3,50,Bioprojet,OTHER,no,https://clinicaltrials.gov/study/NCT07074002
NCT00102596,Clinical Trial Characterizing the Bioavailability of 1-Octanol in Adults With Ethanol-responsive Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2005-01,2009-09,204,21,National Institute of Neurological Disorders and Stroke (NINDS),NIH,yes,https://clinicaltrials.gov/study/NCT00102596
NCT05366751,A Study to Evaluate the Long-term Safety and Tolerability of SAGE-324 in Participants With Essential Tremor,Essential Tremor,TERMINATED,PHASE2|PHASE3,2022-06-03,2024-09-10,24,97,Sage Therapeutics,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT05366751
NCT00646451,Pregabalin in the Treatment of Essential Tremor,Essential Tremor,COMPLETED,EARLY_PHASE1,2006-06,2008-12,213,20,Baylor College of Medicine,OTHER,yes,https://clinicaltrials.gov/study/NCT00646451
NCT05173012,Study to Evaluate SAGE-324 in Participants With Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2022-01-05,2024-05-16,28,146,Sage Therapeutics,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT05173012
NCT07172295,Modulate Tremor Severity With Low-intensity Focused Ultrasound Stimulation Targeting the Deep Nucleus of Patients With Refractory Hand Tremor.,Parkinson Disease (PD); Essential Tremor; Dystonic Tremor; Continuous Theta Burst Stimulation Transcranial Focused Ultrasound,RECRUITING,NA,2025-06-11,2027-12-31,-15,12,National Taiwan University Hospital,OTHER,no,https://clinicaltrials.gov/study/NCT07172295
NCT05958030,GyroGlove Use in Essential Tremor Patients,Essential Tremor,NOT_YET_RECRUITING,NA,2025-07,2025-12,9,30,GyroGear Ltd,INDUSTRY,no,https://clinicaltrials.gov/study/NCT05958030
NCT03051178,Wearable Sensor for Responsive DBS for ET,Essential Tremor,COMPLETED,NA,2018-09-18,2021-09-29,60,17,University of Florida,OTHER,yes,https://clinicaltrials.gov/study/NCT03051178
NCT01764815,Evaluation of Directional Stimulation During the Implantation of Deep Brain Stimulation (DBS) Leads,Parkinson's Disease; Essential Tremor,COMPLETED,NA,2012-12,2013-11,154,13,Aleva Neurotherapeutics SA,INDUSTRY,no,https://clinicaltrials.gov/study/NCT01764815
NCT04286308,Cortical-Basal Ganglia Speech Networks,Parkinson Disease; Essential Tremor; Dystonia,RECRUITING,NA,2020-10-01,2027-02,-5,80,Massachusetts General Hospital,OTHER,no,https://clinicaltrials.gov/study/NCT04286308
NCT05122650,A Study To Assess the Safety and Efficacy of JZP385 in the Treatment of Adults With Moderate to Severe Essential Tremor (ET),Essential Tremor,COMPLETED,PHASE2,2021-12-06,2024-05-30,28,420,Jazz Pharmaceuticals,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT05122650
NCT05965960,Investigating LFP Correlates of TUS in Patients With Movement Disorders,Parkinson Disease; Essential Tremor; Dystonia,UNKNOWN,NA,2023-05-18,2024-06-01,27,25,"University Health Network, Toronto",OTHER,no,https://clinicaltrials.gov/study/NCT05965960
NCT07820189,Effects of Microelectrode-based Brain Stimulation in Humans,Essential Tremor; Parkinsons Disease (PD),NOT_YET_RECRUITING,NA,2026-09,2030-03,-42,12,Lund University,OTHER,no,https://clinicaltrials.gov/study/NCT07820189
NCT06610877,Ultrasound Neuromodulation in Essential Tremor,Essential Tremor; Neuromodulation,RECRUITING,NA,2024-10-01,2027-03,-6,60,"University of California, San Francisco",OTHER,no,https://clinicaltrials.gov/study/NCT06610877
NCT06343285,Upper Limb Tremor Reduction in Essential Tremor Patients,Essential Tremor,COMPLETED,NA,2024-01-01,2024-11-12,22,71,"Encora, Inc.",INDUSTRY,no,https://clinicaltrials.gov/study/NCT06343285
NCT06036368,Study to Evaluate Safety and Efficacy of Peroneal Transcutaneous NeuroModulation in Subjects With Parkinson's Disease and Essential Tremor,Parkinson's Disease; Essential Tremor,COMPLETED,NA,2023-09-15,2024-06-30,27,23,Stimvia s.r.o.,INDUSTRY,no,https://clinicaltrials.gov/study/NCT06036368
NCT02978781,A Study to Evaluate SAGE-217 in Participants With Essential Tremor,Essential Tremor,COMPLETED,PHASE2,2017-03-24,2017-12-05,105,34,Biogen,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT02978781
NCT07721272,Human Cognition During Surgery: Stimulation-based and Cholinergic Modulation,Epilepsy; Essential Tremor; Seizures; Memory Consolidation; Memory Disorders; Memory Replay; Memory Encoding; Cognitive Control; Motor Abilities,NOT_YET_RECRUITING,EARLY_PHASE1,2026-10,2030-09,-48,30,University of Texas Southwestern Medical Center,OTHER,no,https://clinicaltrials.gov/study/NCT07721272
NCT03487705,Essential Tremor in Children and Adolescent,Essential Tremor,TERMINATED,NA,2018-07-01,2021-07-02,62,18,"University Hospital, Montpellier",OTHER,no,https://clinicaltrials.gov/study/NCT03487705
NCT05177900,Interphase Gap in Biphasic Stimulation in DBS for ET,Essential Tremor,COMPLETED,NA,2021-12-01,2022-01-27,56,9,Myles Mc Laughlin,OTHER,no,https://clinicaltrials.gov/study/NCT05177900
NCT03760406,Optimization of VIM Targeting in Essential Tremor Surgery,Essential Tremor,COMPLETED,NA,2019-03-18,2023-08-29,37,22,"University Hospital, Bordeaux",OTHER,no,https://clinicaltrials.gov/study/NCT03760406
NCT05216250,Study of BOTOX Injections to Assess Change in Disease Symptoms in Adult Participants With Upper Limb Essential Tremor,Upper Limb Essential Tremor (UL ET),COMPLETED,PHASE2,2022-04-12,2025-02-03,19,174,AbbVie,INDUSTRY,no,https://clinicaltrials.gov/study/NCT05216250
NCT00439699,A Pilot Clinical Trial Of Memantine for Essential Tremor,Essential Tremor,COMPLETED,PHASE4,2007-02,2009-12,201,16,VA Greater Los Angeles Healthcare System,FED,no,https://clinicaltrials.gov/study/NCT00439699
NCT02960243,"Deep Brain Stimulation for Voice Tremor: Left, Right, or Both Hemispheres?","Essential Voice Tremor; Deep Brain Stimulation; Essential Tremor; Laryngeal Diseases; Action Tremor; Tremor, Nerve",COMPLETED,NA,2016-08,2020-12,69,6,University of British Columbia,OTHER,no,https://clinicaltrials.gov/study/NCT02960243
NCT05842434,Pilot Study of the Felix System in Patients With Essential Tremor and Parkinson's Tremor,Essential Tremor; Parkinson Disease,COMPLETED,NA,2023-06-06,2023-11-29,34,38,Fasikl Inc.,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT05842434
NCT01468948,Octanoic Acid for Essential Tremor,Essential Tremor,COMPLETED,PHASE1,2011-10-28,2012-07-18,170,18,National Institute of Neurological Disorders and Stroke (NINDS),NIH,no,https://clinicaltrials.gov/study/NCT01468948
NCT04658641,Characterization of Complex Pulse Shapes in Deep Brain Stimulation for Movement Disorders Using EEG and Local Field Potential Recordings,Parkinson Disease; Essential Tremor,COMPLETED,NA,2020-12-14,2023-06-20,39,30,KU Leuven,OTHER,no,https://clinicaltrials.gov/study/NCT04658641
NCT03935581,Safety and Feasibility of ExAblate Neuro System to Perform Auto-Focusing Echo Imaging in Patients With Essential Tremor,"Tremor, Essential; Neurologic Manifestations; Tremor",COMPLETED,NA,2019-04-25,2020-04-28,77,20,InSightec,INDUSTRY,no,https://clinicaltrials.gov/study/NCT03935581
NCT01932463,ExAblate (Magnetic Resonance-guided Focused Ultrasound Surgery) for Treatment of Tremor,Tremor; Essential Tremor,COMPLETED,NA,2011-05,2013-07,158,6,InSightec,INDUSTRY,no,https://clinicaltrials.gov/study/NCT01932463
NCT04828798,Directional Versus Nondirectional DBS for ET,Essential Tremor,RECRUITING,NA,2021-04-01,2029-10-01,-37,24,Oregon Health and Science University,OTHER,no,https://clinicaltrials.gov/study/NCT04828798
NCT01579435,Experimental Therapeutics in Essential Tremor Using Transcranial Direct Current Stimulation,Essential Tremor,COMPLETED,NA,2012-04,2013-04,161,12,"Institut National de la Santé Et de la Recherche Médicale, France",OTHER_GOV,no,https://clinicaltrials.gov/study/NCT01579435
NCT01827904,ExAblate Transcranial MR Guided Focused Ultrasound for the Treatment of Essential Tremors,Essential Tremor,COMPLETED,NA,2013-05,2021-02-24,67,76,InSightec,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT01827904
NCT02947841,The Effectiveness of Alternating Stimulation in Preventing Tolerance in Essential Tremor Patients,Essential Tremor; Deep Brain Stimulation,COMPLETED,NA,2016-10,2017-07,110,22,Oregon Health and Science University,OTHER,no,https://clinicaltrials.gov/study/NCT02947841
NCT03778060,Long-Term Transcutaneous Stimulation and Essential Tremor: A PET Study,Essential Tremor,ACTIVE_NOT_RECRUITING,NA,2019-02-11,2026-12,-3,20,Mayo Clinic,OTHER,no,https://clinicaltrials.gov/study/NCT03778060
NCT03811405,"Physiology, Imaging and Modeling of Essential Tremor",Essential Tremor; Parkinson Disease; Dystonia,COMPLETED,NA,2021-04-01,2025-06-01,15,12,University of Florida,OTHER,yes,https://clinicaltrials.gov/study/NCT03811405
NCT06570421,24-months Study to Evaluate Safety and Efficacy of Peroneal Transcutaneous NeuroModulation in Subjects With Parkinson's Disease and Essential Tremor,Parkinson Disease; Essential Tremor,RECRUITING,NA,2024-07-19,2026-12,-3,20,Stimvia s.r.o.,INDUSTRY,no,https://clinicaltrials.gov/study/NCT06570421
NCT07056348,Long-term Brain Stimulation of the Motor Ventral Thalamus (VOP/VIM) to Improve Motor Function,"Traumatic Brain Injury; Stroke; Brain Disease; Movement Disorders (Incl Parkinsonism); Central Nervous System Disease; Essential Tremor, Movement Disorders; Essential Tremor of Voice",RECRUITING,NA,2022-05-10,2030-12-31,-51,60,Jorge Gonzalez-Martinez,OTHER,no,https://clinicaltrials.gov/study/NCT07056348
NCT06331052,3-D Tractography FUS Ablation for Essential Tremor,Essential Tremor,RECRUITING,NA,2024-02-28,2028-02-28,-17,24,"University of North Carolina, Chapel Hill",OTHER,no,https://clinicaltrials.gov/study/NCT06331052
NCT02704793,Cerebellar rTMS for Essential Tremor,Essential Tremor,COMPLETED,NA,2016-04,2018-05,100,23,Mashhad University of Medical Sciences,OTHER,no,https://clinicaltrials.gov/study/NCT02704793
NCT00598078,"Multiple-dose,Double-blind,Placebo-controlled Study of Sodium Oxybate in Patients With Essential Tremor",Essential Tremor,COMPLETED,PHASE2,2007-12,2008-12,213,19,Jazz Pharmaceuticals,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT00598078
NCT01864525,Effects of Octanoic Acid for Treatment of Essential Voice Tremor,Essential Voice Tremor; Vocal Tremor; Voice Tremor; Essential Tremor of Voice,COMPLETED,PHASE1|PHASE2,2013-07,2017-03-31,114,17,Syracuse University,OTHER,yes,https://clinicaltrials.gov/study/NCT01864525
NCT02678429,Atlas Predicted DBS Settings in Essential Tremor,Essential Tremor,TERMINATED,NA,2016-09,2021-11-19,58,4,Vanderbilt University,OTHER,yes,https://clinicaltrials.gov/study/NCT02678429
NCT02087046,Deep Brain Stimulation (DBS) for the Suppression of Tremor,"Tremor; Action Tremor; Essential Tremor; Tremor, Limb",COMPLETED,NA,2005-10,2017-12,105,127,Abbott Medical Devices,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT02087046
NCT02207946,Botulinum Toxin A to Treat Arm Tremor,Essential Tremor of the Upper Limbs,COMPLETED,PHASE2,2014-12-05,2016-09-26,120,30,Merz Pharmaceuticals GmbH,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT02207946
NCT04112381,Bilateral Treatment of Medication Refractory Essential Tremor,Essential Tremor,ACTIVE_NOT_RECRUITING,NA,2020-06-30,2026-06,3,51,InSightec,INDUSTRY,no,https://clinicaltrials.gov/study/NCT04112381
NCT03074422,Effectiveness and Reliability of Hypnosis in Stereotaxy,"Parkinson Disease; Tremor, Essential; Dystonia, Primary",UNKNOWN,NA,2017-07-01,2020-07-30,74,22,"University Hospital, Geneva",OTHER,no,https://clinicaltrials.gov/study/NCT03074422
NCT04305275,"A Study to Evaluate the Efficacy, Safety, and Tolerability of SAGE-324 in Participants With Essential Tremor",Essential Tremor,COMPLETED,PHASE2,2020-05-19,2021-02-15,67,69,Sage Therapeutics,INDUSTRY,yes,https://clinicaltrials.gov/study/NCT04305275
NCT07599592,Open Label Study for the Use of Low Intensity Focused Ultrasound for Essential Tremor,Essential Tremor,RECRUITING,EARLY_PHASE1,2026-05-01,2027-06-01,-9,20,"University of California, Los Angeles",OTHER,no,https://clinicaltrials.gov/study/NCT07599592
